,Area,BHK,Bathroom,Furnishing,Locality,Parking,Price_2019,Status,Transaction,Type,PricePerSqft
952,430.556,1,1,Unfurnished,Dilshad Garden,1,4300000,Ready_to_move,Resale,Apartment,9375
953,500,1,1,Semi-Furnished,Dilshad Garden,1,2600000,Ready_to_move,Resale,Builder_Floor,5200
954,1450,2,2,Unfurnished,Dilshad Garden,1,7000000,Ready_to_move,Resale,Apartment,5200
955,800,2,2,Unfurnished,Dilshad Garden,1,6000000,Ready_to_move,Resale,Builder_Floor,7500
956,1000,2,2,Semi-Furnished,Dilshad Garden,1,6700000,Ready_to_move,Resale,Apartment,6700
957,1000,3,3,Furnished,Dilshad Garden,1,9500000,Ready_to_move,Resale,Apartment,9500
958,1600,3,2,Semi-Furnished,Dilshad Garden,1,17000000,Ready_to_move,Resale,Apartment,10625
959,900,2,2,Semi-Furnished,Vasundhara Enclave,,8000000,Ready_to_move,Resale,Apartment,
960,1500,3,3,Semi-Furnished,Vasundhara Enclave,1,12000000,Ready_to_move,Resale,Apartment,
961,1050,2,2,Semi-Furnished,Vasundhara Enclave,1,9000000,Ready_to_move,Resale,Apartment,
962,1300,3,2,Semi-Furnished,Vasundhara Enclave,2,11500000,Ready_to_move,Resale,Apartment,
